source,title,company,location,contract_type,sector,experience,education,salary,description,skills_raw,url,posted_date,scraped_at
rekrute,Assistante de Direction | Béni Mellal (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Assistanat de Direction / Services Généraux - Gestion / Comptabilité / Finance - Secteur Autres Industries								- Autres services,Intermédiaire (3 à 5 ans),Bac +2 Minimum - BTS / DUT - Université,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : Nous recherchons un profil "" Secrétaire"" pour notre entité à Beni Mellal possédant une expérience confirmée d’au moins 2 ans en secrétariat ou gestion administrative Principales Missions: • Assurer la gestion du courrier arrivée et départ ; • Enregistrer et tracer les documents ; • Assurer l’archivage physique et numérique ; • Préparer les correspondances administratives ; • Assurer l’accueil téléphonique et physique ; • Organiser les réunions ; • Assister la direction dans les tâches administratives. | Profil recherché : Formation et compétences requises : Diplôme d'Etat Bac+2/3 en Gestion, Economie, assistanat de direction Expérience minimum de 2 ans dans un poste similaire Organisation administrative et gestion documentaire Excellente maîtrise des outils informatiques (Microsoft Office) Traits de personnalité souhaités : Excellentes capacités de communication orale et écrite. Discrétion et gestion de l’information confidentielle. Sens de l’organisation, rigueur et autonomie. Bonne capacité à travailler en équipe et à interagir avec différents services.",Respect des règles | Distance émotionnelle | Rationalisme | Travail en équipe | Besoin d'objectivité | Flexibilité | Implication au travail | Organisation,https://www.rekrute.com/offre-emploi-assistante-de-direction-recrutement-societe-de-developpement-des-services-publics-de-distribution-beni-mellal-181921.html,N/A,2026-04-19T22:24:39.928956
rekrute,Responsable Unité suivi des aspects Electricité | Béni Mellal (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Electricité - Travaux / Chantiers / BTP - Secteur Electricité								- Autres services,Intermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans),Bac +5 et plus - Ecole d'ingénieur,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : Nous recherchons un profil "" Responsable Unité suivi des aspects Electricité "" pour notre entité à Beni Mellal possédant une expérience confirmée d’au moins 3 ans dans le domaine. Principales missions : • Assurer le suivi des indicateurs de performance relatifs à l’électricité (rendement, continuité, qualité de service, etc.) ; • Analyser les données techniques et d’exploitation communiquées par la SRM ; • Participer aux missions de contrôle sur le terrain et aux audits techniques ; • Participer à l’élaboration, l’examen et l’analyse des besoins interne et externe ; • Vérifier la conformité des activités avec les dispositions du contrat de gestion et les référentiels applicables ; • Identifier les dysfonctionnements et écarts constatés ; • Elaborer des rapports d’analyse, notes techniques et recommandations ; • Proposer des actions correctives et contribuer à l’amélioration continue du service. Une expérience dans le secteur de la distribution est un atout. | Profil recherché : Formation et compétences requises : Diplôme d’Ingénieur d’Etat (Bac+5) ou équivalent en génie électrique. Bonne maîtrise des systèmes de distribution d’électricité (réseaux, mesures et protection, conduite de réseau) ; Capacité d’analyse des données techniques et d’exploitation ; Connaissance des indicateurs de performance du secteur ; Aptitude à rédiger des rapports techniques clairs et structurés ; Capacité à conduire des missions de contrôle terrain. Bonne connaissance des outils et logiciels en relation avec le domaine. Bonne maitrise des techniques de conduite des projets. Traits de personnalité souhaités : Esprit d’organisation et Rigueur. Intégrité et Disponibilité. Esprit d'analyses et Autonomie Compétences de travail en équipe. Excellente communication écrite et orale.",Respect des règles | Besoin d'objectivité | Rationalisme | Ténacité | Besoin de réflexion | Travail en équipe | Implication au travail | Organisation,https://www.rekrute.com/offre-emploi-responsable-unite-suivi-des-aspects-electricite-recrutement-societe-de-developpement-des-services-publics-de-distribution-beni-mellal-181919.html,N/A,2026-04-19T22:24:42.790085
rekrute,Responsable Unité suivi des aspects Assainissement | Béni Mellal (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Gestion projet / Etudes / R&D - Travaux / Chantiers / BTP - Secteur Conseil / Etudes								- Autres services,Intermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans),Bac +5 et plus - Ecole d'ingénieur,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : Nous recherchons un profil "" Responsable Unité suivi des aspects Assainissement "" pour notre entité à Beni Mellal possédant une expérience confirmée d’au moins 3 ans dans le domaine. Principales missions : • Assurer le suivi des indicateurs de performance relatifs à l’assainissement et traitement des eaux usées ; • Analyser les données techniques et d’exploitation communiquées par la SRM ; • Evaluer la performance globale des systèmes d’assainissement et des ouvrages (réseaux, stations d’épuration) ; • Participer aux missions de contrôle sur le terrain et aux audits techniques ; • Participer à l’élaboration, l’examen et l’analyse des besoins interne et externe ; • Vérifier la conformité des activités avec les dispositions du contrat de gestion et les référentiels applicables ; • Identifier les dysfonctionnements et écarts constatés ; • Elaborer des rapports d’analyse, notes techniques et recommandations ; • Proposer des actions correctives et contribuer à l’amélioration continue du service. Une expérience dans le secteur de la distribution est un atout. | Profil recherché : Formation et compétences requises : Diplôme d’Ingénieur d’Etat (Bac+5) ou équivalent en hydraulique ou en génie des procédés ou en génie rural ou en environnement . Bonne maîtrise des systèmes d’assainissement liquide (la collecte, le transport et le traitement des eaux usées et la réutilisation) ; Capacité d’analyse des données techniques et d’exploitation ; Connaissance des indicateurs de performance du secteur ; Aptitude à rédiger des rapports techniques clairs et structurés ; Capacité à conduire des missions de contrôle terrain. Bonne connaissance des outils et logiciels en relation avec le domaine. Bonne maitrise des techniques de conduite des projets. Traits de personnalité souhaités : Esprit d’organisation et Rigueur. Intégrité et Disponibilité. Esprit d'analyses et Autonomie Compétences de travail en équipe. Excellente communication écrite et orale.",Recherche de nouveauté | Respect des règles | Besoin d'objectivité | Rationalisme | Besoin d'autonomie | Implication au travail | Ambition | Organisation,https://www.rekrute.com/offre-emploi-responsable-unite-suivi-des-aspects-assainissement-recrutement-societe-de-developpement-des-services-publics-de-distribution-beni-mellal-181918.html,N/A,2026-04-19T22:24:45.911882
rekrute,Responsable Unité suivi des aspects Eau Potable | Béni Mellal (Maroc),N/A (confidentiel),1 poste(s) - Maroc,CDI,Gestion projet / Etudes / R&D - Travaux / Chantiers / BTP - Secteur Conseil / Etudes								- Autres services,Intermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans),Bac +5 et plus - Ecole d'ingénieur,N/A,"Entreprise : La SOCIETE DE DEVELOPPEMENT DES SERVICES PUBLICS DE DISTRIBUTION S.A. est une société de Développement Local, qui a pour missions de participer à la gestion et au développement des Services Publics de distribution, et cela à travers notamment, les prestations : D’accompagnement dans le domaine financier et de l'ingénierie financière, et dans la mobilisation et la gestion des financements ; De suivi et d'évaluation de la gestion et des indicateurs de performance inhérents aux Services Publics ; De gestion des dettes de financement liées à l’activité de distribution ; D’harmonisation des règles communes et process concernant la gestion des Services Publics. Notre société accompagne les acteurs du secteur de la distribution d’électricité, d’eau potable et d’assainissement liquide, notamment les GCT (Groupements de Collectivités Territoriales) et les SRM (les sociétés Régionales Multiservices) nouvellement mises en place. | Poste : Nous recherchons un profil "" Responsable Unité suivi des aspects Eau Potable "" pour notre entité à Beni Mellal possédant une expérience confirmée d’au moins 3 ans dans le domaine. Principales missions : • Assurer le suivi des indicateurs de performance relatifs à l’eau potable (rendement, continuité, qualité de service, etc.) ; • Analyser les données techniques et d’exploitation communiquées par la SRM; • Evaluer la performance globale des systèmes de distribution d’eau potable ; • Participer aux missions de contrôle sur le terrain et aux audits techniques ; • Participer à l’élaboration, l’examen et l’analyse des besoins interne et externe ; • Vérifier la conformité des activités avec les dispositions du contrat de gestion et les référentiels applicables ; • Identifier les dysfonctionnements et écarts constatés ; • Elaborer des rapports d’analyse, notes techniques et recommandations ; • Proposer des actions correctives et contribuer à l’amélioration continue du service. Une expérience dans le secteur de la distribution est un atout. | Profil recherché : Formation et compétences requises : Diplôme d’Ingénieur d’Etat (Bac+5) ou équivalent en hydraulique ou en génie des procédés ou électromécanique. Bonne maîtrise des systèmes d’alimentation en eau potable (distribution, système de production d’eau potable et infrastructure de distribution) ; Capacité d’analyse des données techniques et d’exploitation ; Connaissance des indicateurs de performance du secteur ; Aptitude à rédiger des rapports techniques clairs et structurés ; Capacité à conduire des missions de contrôle terrain. Bonne connaissance des outils et logiciels en relation avec le domaine. Bonne maitrise des techniques de conduite des projets. Traits de personnalité souhaités : Esprit d’organisation et Rigueur. Intégrité et Disponibilité. Esprit d'analyses et Autonomie Compétences de travail en équipe. Excellente communication écrite et orale.",Recherche de nouveauté | Respect des règles | Besoin d'objectivité | Rationalisme | Besoin d'autonomie | Implication au travail | Ambition | Organisation,https://www.rekrute.com/offre-emploi-responsable-unite-suivi-des-aspects-eau-potable-recrutement-societe-de-developpement-des-services-publics-de-distribution-beni-mellal-181917.html,N/A,2026-04-19T22:24:48.208992
